is_wc,home_elo,away_elo,elo_diff,home_form,away_form,form_diff,home_goals_avg,away_goals_avg,h2h_rate,h2h_matches,composure_diff,mentality_diff,squad_value_ratio,ca_diff,pace_diff,rank_diff,is_host,home_injured,away_injured,availability_diff,is_wc_match
-0.009008166,0.029793527,0.06753384,0.2552704,-0.01767763,-0.014433153,0.050847597,-0.10453009,0.017388366,0.13900211,-0.01363513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0085792085
0.020947034,0.091735154,0.04727205,-0.4155308,0.13337849,0.06899424,0.11088622,0.008411399,0.002676774,0.039760124,-0.14316091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007874003
-0.0043499935,0.0022549634,-0.055619486,-0.05450011,0.051858798,-0.018907335,0.026118524,0.0074128183,0.03578066,0.082569614,-0.039477486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008983074
-0.0036008281,0.026552966,-0.054376133,0.3776957,-0.096282355,-0.02259183,0.028411988,0.012557849,0.024188641,-0.070216335,-0.057068475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007017202
-0.004390682,0.0950268,0.04429113,-0.1366998,0.013759861,0.064636484,0.055060998,0.016583277,0.01665455,0.10631944,-0.044837132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016028658
-0.002317687,-0.031030841,0.0037549266,0.44600108,0.029534366,0.064236775,0.034616966,-0.06446874,0.029821279,0.036109027,-0.04152718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046792586
-0.0008692487,0.07359475,-0.041446254,-0.1616142,-0.06829958,0.0019673007,-0.04284527,0.057482347,0.06995784,-0.07411977,0.03883503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0044772835
-0.0011144936,-0.04442996,-0.29592723,-0.3203095,0.02256302,-0.025337638,0.029922081,-0.033008806,0.055957604,-0.05377737,-0.09739356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004184469
0.013400372,0.3086468,0.05765963,1.1113349,-0.038361832,0.10270903,0.16830212,0.035734933,-0.03870329,0.0630008,0.041178834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032725694
-0.0030526952,0.033271104,0.07441046,0.30739447,0.01797906,0.02692625,0.049202926,-0.010004486,0.0151817,-0.05329218,-0.024246806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032365235
0.011884283,0.11314234,0.14495301,-0.16402498,0.056802418,0.026962044,0.0886978,-0.095349744,-0.0040194965,0.029364489,0.028402872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6895096e-05
-0.0035314958,0.013307764,-0.17349413,-0.49268723,0.013218267,-0.13859345,-0.057145525,0.010298842,0.039945826,-0.01920401,-0.007737321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00075171987
-0.005020789,0.051206693,-0.08028847,-0.11757771,-0.0059364215,0.008389764,-0.09351447,-0.03161588,0.024021717,-0.009173299,0.07748283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005404265
-0.0041524544,-0.050835602,-0.041866113,-0.12443943,-0.0017197055,-0.032969214,-0.02004223,-0.0494606,0.0030073319,0.069156855,-0.016786076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00030174787
-0.022276519,-0.011560469,0.13862137,0.58904815,-0.032760248,0.12452386,-0.06873888,0.10614806,0.028372908,0.18247569,0.02709245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007985563
0.00039441275,0.017616225,-0.360105,-0.16722633,0.1792056,0.019895094,0.36097702,-0.0073009953,0.049278114,-0.00068900024,0.018120335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016951588
-0.00022305954,0.35819256,0.021848002,0.5811016,-0.06096544,0.03180419,0.12382082,0.0903708,-0.021808479,-0.044342395,0.0065149255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005805787
-0.0022236288,-0.024182353,-0.15783742,-0.18973605,-0.020890202,-0.06084229,-0.029194662,-0.0043756785,0.015680933,-0.03605212,0.052838862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019634906
0.014439437,-0.0700949,-0.056997973,0.20869802,-0.013120432,0.14858164,0.06438669,-0.0051822504,-0.031936854,-0.012593766,0.00016953002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027209793
-0.0039863763,0.06799129,0.19760263,0.4345335,0.14308633,0.10872253,-0.051989805,-0.01993534,0.0047281906,0.07085425,0.058143217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011191907
